States,Unemployed,Bachelor.s,Retirement,MedianIncome,Christian,NumberPeoplePerFamily,HealthInsurance,Voted,X2001.Lower.Democrat,X2001.Lower.Republican,X2001.Lower.Other,X2001.Lower.Vacancies,X2001.Upper.Democrat,X2001.Upper.Republican,X2001.Upper.Other,X2001.Upper.Vacancies,lower_dem,upper_dem,pct_dem
Rhode Island,5.1,25.6,14.5,42090,61.7,3.07,92.9,60.1,87,13,0,0,43,7,0,0,87,86,86.5
South Carolina,5.1,20.4,12.1,37082,46.7,3.02,88.1,58.9,53,71,0,0,21,25,0,0,42.74193548387097,45.65217391304348,44.19705469845722
South Dakota,3.8,21.5,14.3,35282,67.6,3.07,89.5,58.7,20,50,0,0,11,24,0,0,28.571428571428573,31.428571428571427,30
Tenessee,5,19.6,12.4,36360,50.4,2.99,89.6,52.3,57,41,0,0,18,15,0,0,58.16326530612245,54.54545454545455,56.3543599257885
Texas,5.7,23.2,9.9,39927,54.3,3.28,77.6,48.2,78,71,0,0,15,15,0,1,52.348993288590606,49.38709677419355,50.86804503139208
Utah ,4.6,26.1,8.5,45726,74.3,3.57,88.5,56.3,24,51,0,0,9,20,0,0,32,31.03448275862069,31.517241379310345
Vermnot,3.7,29.4,12.7,40856,37.8,2.96,91.7,63.3,62,82,5,0,16,13,0,1,41.61073825503356,54.333333333333336,47.97203579418345
Virginia,3.7,29.5,11.2,46677,39.7,3.04,89.3,57.2,34,64,2,0,18,22,0,0,34,45,39.5
Washington,5.7,27.7,11.2,45776,31.8,3.07,86.8,58.6,50,48,0,0,25,24,0,0,51.02040816326531,51.02040816326531,51.02040816326531
West Virginia,6.8,14.8,15.3,29696,35.7,2.9,86.1,52.1,75,25,0,0,28,6,0,0,75,82.3529411764706,78.6764705882353
Wisconsin,4.2,22.4,13.1,43791,59.6,3.05,92.5,67.8,43,56,0,0,18,15,0,0,43.43434343434343,54.54545454545455,48.98989898989899
Wyoming,5.1,21.9,11.7,37892,46.4,3,84.7,62.5,14,46,0,0,10,20,0,0,23.333333333333332,33.333333333333336,28.333333333333336
