school,cost
Thomas University,27354
Toccoa Falls College,37297
Truett McConnell University,33299
Valdosta State University,20998
Wesleyan College,34952
University of West Georgia,23684
Young Harris College,44203
Chaminade University of Honolulu,38649
University of Hawaii at Hilo,20440
University of Hawaii at Manoa,23405
Hawaii Pacific University,47698
University of Hawaii-West Oahu,19914
Boise Bible College,24258
Boise State University,21621
Idaho State University,20652
University of Idaho,21525
The College of Idaho,45607
Lewis-Clark State College,16922
Northwest Nazarene University,42068
Brigham Young University-Idaho,12381
American Academy of Art College,41648
School of the Art Institute of Chicago,68575
Augustana College,55924
Aurora University,35658
Blackburn College,32584
Bradley University,48295
Chicago State University,21867
University of Chicago,81531
Columbia College Chicago,45103
Concordia University-Chicago,42750
DePaul University,57122
East-West University,29370
Eastern Illinois University,24125
Elmhurst University,48429
Eureka College,37986
Governors State University,21549
Greenville University,40959
Hebrew Theological College,28145
University of Illinois Chicago,25831
Benedictine University,46006
University of Illinois Urbana-Champaign,30302
Illinois Wesleyan University,63174
Illinois College,44465
Illinois Institute of Technology,64710
Illinois State University,31124
Judson University,40737
Knox College,60393
Lake Forest College,62405
Lewis University,43255
Lincoln Christian University,27166
Lincoln College,31844
Loyola University Chicago,60717
McKendree University,44383
Methodist College,30504
Millikin University,49304
Monmouth College,51176
Moody Bible Institute,29460
National Louis University,23675
North Central College,52405
North Park University,39373
Northern Illinois University,26312
Northwestern University,78654
Northeastern Illinois University,24295
Olivet Nazarene University,48119
Quincy University,41831
Rockford University,43866
Roosevelt University,44322
Dominican University,43228
University of St Francis,42819
Saint Xavier University,41360
University of Illinois Springfield,24309
Saint Anthony College of Nursing,39624
Southern Illinois University-Carbondale,29023
Southern Illinois University-Edwardsville,24244
Telshe Yeshiva-Chicago,18500
Trinity Christian College,42996
Trinity International University-Illinois,47226
VanderCook College of Music,37584
Western Illinois University,26287
Wheaton College,50923
Anderson University,44342
Ball State University,24439
Bethel University,40149
Butler University,61623
Calumet College of Saint Joseph,26540
DePauw University,66946
Earlham College,61156
University of Evansville,50986
Franklin College,46533
Goshen College,44994
Grace College and Theological Seminary,36725
Hanover College,52998
Holy Cross College,44469
Huntington University,38461
Purdue University Fort Wayne,19224
Indiana University-Purdue University-Indianapolis,21127
University of Indianapolis,44681
Indiana Institute of Technology,40161
University of Southern Indiana,20146
Indiana State University,22718
Indiana University-Kokomo,16738
Indiana University-South Bend,16667
Indiana University-Bloomington,25587
Indiana University-Northwest,13054
Indiana University-Southeast,17421
Indiana University-East,16144
Manchester University,45489
Marian University,49112
Indiana Wesleyan University-Marion,39347
Martin University,23393
University of Notre Dame,74172
Oakland City University,37683
Rose-Hulman Institute of Technology,70401
University of Saint Francis-Fort Wayne,40759
Saint Mary-of-the-Woods College,42591
Saint Mary's College,58956
Taylor University,48656
Trine University,47142
Valparaiso University,53847
Wabash College,58770
Briar Cliff University,45452
Buena Vista University,48297
Central College,53402
Clarke University,48724
Coe College,58857
Cornell College,58201
Dordt University,46028
Drake University,57643
University of Dubuque,47188
Faith Baptist Bible College and Theological Seminary,28069
Graceland University-Lamoni,43960
Grand View University,39864
Grinnell College,70346
Iowa State University,21740
Iowa Wesleyan University,45994
University of Iowa,24806
Loras College,46290
Luther College,57885
Maharishi International University,28730
Mercy College of Health Sciences,29813
Morningside University,45927
Mount Mercy University,48189
University of Northern Iowa,21047
Northwestern College,45760
Saint Ambrose University,46894
Simpson College,53845
Upper Iowa University,45237
Wartburg College,55508
William Penn University,38337
Baker University,44473
Benedictine College,46309
Bethany College,49294
Bethel College-North Newton,43795
Central Christian College of Kansas,30742
Emporia State University,19526
Fort Hays State University,18111
Barclay College,34250
Friends University,39879
University of Kansas,26204
Newman University,41633
Kansas State University,24626
Kansas Wesleyan University,44254
Manhattan Christian College,30594
McPherson College,44154
MidAmerica Nazarene University,48863
Ottawa University-Ottawa,47369
Pittsburg State University,18657
University of Saint Mary,42175
Southwestern College,46869
Sterling College,40406
Tabor College,44240
Washburn University,20011
Wichita State University,20418
Alice Lloyd College,25490
Asbury University,42462
Bellarmine University,56319
Berea College,54866
Brescia University,36939
Campbellsville University,38502
Centre College,56645
Clear Creek Baptist Bible College,19055
University of the Cumberlands,23624
Eastern Kentucky University,23384
Georgetown College,53196
Kentucky Mountain Bible College,15750
Kentucky State University,16885
Kentucky Wesleyan College,40177
University of Kentucky,30178
Kentucky Christian University,34496
Lindsey Wilson College,38208
University of Louisville,28247
Midway University,41077
Morehead State University,22059
Murray State University,21349
Northern Kentucky University,17869
University of Pikeville,33068
Spalding University,38163
Thomas More University,42003
Transylvania University,53097
Union College,39439
Western Kentucky University,21084
Centenary College of Louisiana,55300
Dillard University,33421
Grambling State University,24332
Louisiana State University-Alexandria,14207
Louisiana State University and Agricultural & Mechanical College,32724
Louisiana State University-Shreveport,19065
Louisiana College,27669
Louisiana Tech University,21927
Loyola University New Orleans,54417
McNeese State University,19489
University of New Orleans,20864
Nicholls State University,21275
University of Louisiana at Monroe,20851
Northwestern State University of Louisiana,22940
University of Holy Cross,23715
Franciscan Missionaries of Our Lady University,26751
Saint Joseph Seminary College,38070
Southeastern Louisiana University,21073
Southern University and A & M College,23592
Southern University at New Orleans,16762
University of Louisiana at Lafayette,22948
Tulane University of Louisiana,75628
Xavier University of Louisiana,36391
College of the Atlantic,54899
Bates College,73538
Bowdoin College,73800
Colby College,73600
University of Maine at Augusta,16948
University of Maine at Farmington,22802
University of Maine at Fort Kent,18521
University of Maine at Machias,18704
University of Maine,24581
Maine Maritime Academy,28208
University of Maine at Presque Isle,17586
University of New England,56844
Maine College of Art & Design,51962
Saint Joseph's College of Maine,52614
University of Southern Maine,19582
Thomas College,40911
Unity College,42474
University of Baltimore,24521
Bowie State University,22891
Capitol Technology University,40538
Washington Adventist University,33721
Coppin State University,17787
Frostburg State University,24650
Goucher College,62979
Hood College,56168
Johns Hopkins University,74001
Loyola University Maryland,67196
University of Maryland Global Campus,19764
University of Maryland-Baltimore County,25997
University of Maryland-College Park,27343
Maryland Institute College of Art,66413
University of Maryland Eastern Shore,24348
Morgan State University,23254
Mount St. Mary's University,57867
Ner Israel Rabbinical College,23250
Notre Dame of Maryland University,52667
Salisbury University,25057
St. Mary's College of Maryland,30610
St. John's College,50001
Towson University,25697
Stevenson University,53066
Washington College,65405
McDaniel College,58638
Hult International Business School,62875
American International College,51505
Amherst College,76750
Anna Maria College,52919
Assumption University,57238
Babson College,72378
Boston Baptist College,26691
Bay Path University,48102
Becker College,55633
Bentley University,71094
Berklee College of Music,66342
Boston Architectural College,35044
Boston College,75872
Boston University,74911
Brandeis University,76044
Bridgewater State University,23845
Clark University,58153
Curry College,57260
Dean College,59018
Eastern Nazarene College,41194
Emerson College,72119
Emmanuel College,58787
Endicott College,52642
Fisher College,48411
Fitchburg State University,22881
Framingham State University,25810
Gordon College,51869
Hampshire College,67079
Harvard University,75914
Hellenic College-Holy Cross Greek Orthodox School of Theology,41282
College of the Holy Cross,71448
Lasell University,54730
Lesley University,47620
University of Massachusetts-Lowell,29174
University of Massachusetts-Amherst,31749
University of Massachusetts-Boston,28910
MCPHS University,54955
Massachusetts College of Art and Design,29569
Massachusetts Institute of Technology,73160
Massachusetts Maritime Academy,28602
Merrimack College,59617
Montserrat College of Art,52124
Mount Holyoke College,69578
The New England Conservatory of Music,70360
Nichols College,52520
Massachusetts College of Liberal Arts,24458
Northeastern University,73196
College of Our Lady of the Elms,50266
Pine Manor College,47443
Regis College,61605
Salem State University,26423
Simmons University,60221
Smith College,75169
Springfield College,55078
University of Massachusetts-Dartmouth,28948
Stonehill College,62253
Suffolk University,57850
Tufts University,76151
Wellesley College,75198
Wentworth Institute of Technology,52232
Western New England University,52924
Westfield State University,24844
Wheaton College (Massachusetts),70453
Williams College,75520
Worcester Polytechnic Institute,69233
Worcester State University,21870
Adrian College,54621
Albion College,62041
Alma College,55662
Andrews University,40948
Aquinas College,43921
Baker College,19593
Calvin University,50191
Central Michigan University,25078
Cleary University,35998
Concordia University Ann Arbor,45348
College for Creative Studies,57085
Davenport University,31321
University of Detroit Mercy,38440
Eastern Michigan University,24994
Ferris State University,23106
Kettering University,58080
Cornerstone University,35814
Grand Valley State University,24280
Great Lakes Christian College,26764
Hope College,48607
Kalamazoo College,63808
Lake Superior State University,23239
Lawrence Technological University,49729
Madonna University,35736
Rochester University,33013
University of Michigan-Ann Arbor,30926
Michigan State University,28626
Michigan Technological University,29765
University of Michigan-Dearborn,21509
University of Michigan-Flint,21376
Northern Michigan University,23578
Northwood University,41997
Oakland University,23778
Olivet College,42758
Kuyper College,33168
Saginaw Valley State University,22353
Siena Heights University,39539
Spring Arbor University,41548
Finlandia University,34832
Wayne State University,24541
Western Michigan University,26567
Augsburg University,54069
Bemidji State University,20919
Bethany Lutheran College,38528
Bethel University,52723
Carleton College,74275
Concordia College at Moorhead,53819
Concordia University-Saint Paul,32686
Martin Luther College,27230
Gustavus Adolphus College,59205
Hamline University,51984
Macalester College,71053
Minnesota State University-Mankato,20858
Metropolitan State University,22819
University of Minnesota-Twin Cities,27654
University of Minnesota-Crookston,23804
Minneapolis College of Art and Design,53010
Herzing University-Minneapolis,28018
University of Minnesota-Duluth,25326
University of Minnesota-Morris,24636
Minnesota State University Moorhead,22525
North Central University,37644
University of Northwestern-St Paul,43817
Oak Hills Christian College,30607
College of Saint Benedict,60788
Saint Cloud State University,19635
Saint Johns University,59972
Saint Mary's University of Minnesota,49200
St Olaf College,62880
Crown College,41227
The College of Saint Scholastica,50923
University of St Thomas,57785
St Catherine University,50794
Southwest Minnesota State University,20481
Winona State University,22003
Alcorn State University,24285
Belhaven University,35975
Blue Mountain College,25475
Delta State University,20678
Jackson State University,24570
Millsaps College,57996
University of Mississippi,25562
Mississippi University for Women,20684
Mississippi Valley State University,20315
Mississippi College,34918
Mississippi State University,25778
Rust College,16700
University of Southern Mississippi,24047
Tougaloo College,22784
William Carey University,23334
Avila University,30366
Baptist Bible College,24641
Calvary University,18784
Central Christian College of the Bible,24769
Central Methodist University-College of Liberal Arts and Sciences,42630
University of Central Missouri,19802
Columbia College,37709
Conception Seminary College,38960
Culver-Stockton College,40296
Drury University,40913
Evangel University,37127
Fontbonne University,40906
Hannibal-LaGrange University,36128
Harris-Stowe State University,17740
Kansas City Art Institute,54227
Lincoln University,18374
Lindenwood University,30609
Logan University,20535
Maryville University of Saint Louis,46850
Midwestern Baptist Theological Seminary,24811
Missouri Baptist University,40548
Missouri Southern State University,15867
Missouri Valley College,35425
Missouri Western State University,18632
University of Missouri-Columbia,26902
University of Missouri-Kansas City,22897
Missouri University of Science and Technology,23123
University of Missouri-St Louis,24481
Truman State University,21640
Northwest Missouri State University,20235
Ozark Christian College,22811
College of the Ozarks,30764
Park University,21146
Rockhurst University,53221
Saint Louis University,61975
Saint Louis Christian College,24180
University of Health Sciences and Pharmacy in St. Louis,47005
Southwest Baptist University,35243
Stephens College,38435
Southeast Missouri State University,20872
Missouri State University-Springfield,21859
Washington University in St Louis,76910
Webster University,44260
Westminster College,44500
William Jewell College,49150
William Woods University,41310
Carroll College,50675
Montana State University Billings,16755
University of Providence,40556
Montana Technological University,21124
Montana State University,22073
The University of Montana,19958
Montana State University-Northern,15933
Rocky Mountain College,40804
The University of Montana-Western,17790
Bellevue University,22961
Clarkson College,24917
Bryan College of Health Sciences,30615
Chadron State College,22030
Concordia University-Nebraska,45672
Creighton University,56120
Doane University,50470
Hastings College,44893
University of Nebraska at Kearney,23319
Nebraska Methodist College of Nursing & Allied Health,31690
Midland University,45689
University of Nebraska at Omaha,19797
Nebraska Wesleyan University,48718
University of Nebraska-Lincoln,24400
Peru State College,20321
Summit Christian College,11009
College of Saint Mary,31250
Union College,36243
Wayne State College,19521
York College,30571
University of Nevada-Las Vegas,18756
University of Nevada-Reno,23256
Sierra Nevada University,50040
Colby-Sawyer College,61418
Dartmouth College,77152
Franklin Pierce University,56500
Magdalen College,35456
New England College,57285
Southern New Hampshire University,50505
University of New Hampshire-Main Campus,33940
Keene State College,28880
University of New Hampshire at Manchester,25244
Plymouth State University,28222
Rivier University,46498
Saint Anselm College,61163
Granite State College,18834
Thomas More College of Liberal Arts,33111
Bloomfield College,43493
Caldwell University,50245
Centenary University,44856
Drew University,58116
Fairleigh Dickinson University-Metropolitan Campus,51758
Felician University,49240
Fairleigh Dickinson University-Florham Campus,59190
Georgian Court University,45458
Rowan University,34987
New Jersey City University,25328
Kean University,25863
Monmouth University,55898
Montclair State University,26067
New Jersey Institute of Technology,31511
Princeton University,74150
Rabbinical College of America,23000
Ramapo College of New Jersey,29130
Rider University,61693
