school,cost
Carnegie Mellon University,74489
Cedar Crest College,52279
Chatham University,52968
Chestnut Hill College,54599
Cheyney University of Pennsylvania,24513
Clarion University of Pennsylvania,26294
Curtis Institute of Music,22192
Delaware Valley University,56828
Dickinson College,73650
Drexel University,69397
Duquesne University,56199
East Stroudsburg University of Pennsylvania,24870
Eastern University,48828
Edinboro University of Pennsylvania,22036
Elizabethtown College,44978
Franklin and Marshall College,75720
Gannon University,46867
Geneva College,38941
Gettysburg College,71850
Gwynedd Mercy University,47646
Haverford College,76384
Holy Family University,37020
Immaculata University,44036
Indiana University of Pennsylvania-Main Campus,28442
Juniata College,61807
Keystone College,39200
King's College,52647
Kutztown University of Pennsylvania,28414
La Roche University,43073
La Salle University,45298
Lafayette College,74016
Lancaster Bible College,36544
Lebanon Valley College,59255
Lehigh University,71310
Lincoln University,26008
Lock Haven University,25916
Lycoming College,57132
Mansfield University of Pennsylvania,24278
Marywood University,49609
Mercyhurst University,56266
Messiah University,49864
Millersville University of Pennsylvania,27526
Misericordia University,48844
Moore College of Art and Design,60910
Moravian University,59553
Mount Aloysius College,36886
Muhlenberg College,69413
Neumann University,50640
Peirce College,18260
Pennsylvania Academy of the Fine Arts,62147
Pennsylvania College of Art and Design,38043
University of Pennsylvania,78186
The University of the Arts,65881
Cairn University-Langhorne,41762
University of the Sciences,43968
University of Pittsburgh-Bradford,28132
University of Pittsburgh-Greensburg,27461
University of Pittsburgh-Johnstown,27031
University of Pittsburgh-Pittsburgh Campus,33964
Point Park University,45350
Robert Morris University,47724
Rosemont College,35805
Saint Francis University,54101
Saint Joseph's University,63223
Saint Vincent College,50140
University of Scranton,62380
Seton Hill University,50395
Shippensburg University of Pennsylvania,29182
Slippery Rock University of Pennsylvania,24600
Saint Charles Borromeo Seminary-Overbrook,41324
Susquehanna University,64760
Swarthmore College,73932
Talmudical Yeshiva of Philadelphia,20100
Temple University,33226
Thiel College,48566
Thomas Jefferson University,60290
Ursinus College,69604
University of Valley Forge,36036
Villanova University,73042
Washington & Jefferson College,62814
Waynesburg University,37431
West Chester University of Pennsylvania,26114
Westminster College,49932
Widener University,62831
Wilkes University,54085
Wilson College,37019
Yeshivath Beth Moshe,17300
York College of Pennsylvania,32801
Brown University,77490
Bryant University,62855
Johnson & Wales University-Providence,51167
Providence College,69407
Rhode Island College,17761
University of Rhode Island,30339
Rhode Island School of Design,72571
Roger Williams University,54865
Salve Regina University,61072
Northpoint Bible College,29554
Allen University,24695
Anderson University,44481
Charleston Southern University,40177
Benedict College,28000
Bob Jones University,28498
Southern Wesleyan University,35949
College of Charleston,29545
Citadel Military College of South Carolina,30022
Claflin University,33777
Clemson University,32254
Coker University,42395
Columbia International University,36979
Columbia College,33178
Converse University,33858
Erskine College,52411
Francis Marion University,21888
Furman University,67299
Lander University,24474
Limestone University,42137
Morris College,27066
Newberry College,42320
North Greenville University,37771
Presbyterian College,53720
University of South Carolina Aiken,20735
University of South Carolina Beaufort,24235
University of South Carolina-Columbia,28602
Coastal Carolina University,24313
South Carolina State University,30015
University of South Carolina-Upstate,23660
Voorhees College,26306
Winthrop University,29266
Wofford College,62262
Augustana University,47710
Black Hills State University,20937
Dakota State University,22365
Dakota Wesleyan University,38617
Mount Marty University,41044
Northern State University,21388
Presentation College,35087
South Dakota School of Mines and Technology,25078
South Dakota State University,22230
University of Sioux Falls,30472
University of South Dakota,23016
American Baptist College,24972
Austin Peay State University,23931
Baptist Health Sciences University,20485
Belmont University,54595
Bethel University,30992
Bryan College-Dayton,38061
Carson-Newman University,40422
Christian Brothers University,43939
Cumberland University,38392
Lipscomb University,49074
East Tennessee State University,22323
Fisk University,37482
Welch College,34108
Freed-Hardeman University,35099
Johnson University,27168
King University,42662
Lane College,23551
Le Moyne-Owen College,18056
Lee University,31522
Lincoln Memorial University,36365
The University of Tennessee Southern,40576
Maryville College,49603
University of Memphis,24139
Middle Tennessee State University,21241
Rhodes College,64249
The University of the South,62647
Southern Adventist University,35820
Tennessee Wesleyan University,33219
The University of Tennessee-Chattanooga,23436
The University of Tennessee-Knoxville,32010
The University of Tennessee-Martin,21200
Tennessee State University,22509
Tennessee Technological University,24458
Trevecca Nazarene University,34473
Tusculum University,39440
Union University,54324
Vanderbilt University,73148
Abilene Christian University,51577
Angelo State University,19810
Arlington Baptist University,25381
Austin College,56377
Baylor University,65222
Concordia University Texas,47251
Texas A & M University-Corpus Christi,22459
Dallas Baptist University,42855
Dallas Christian College,33724
University of Dallas,58050
East Texas Baptist University,38749
Texas A&M University-Texarkana,19447
Texas A & M University-Commerce,22575
Hardin-Simmons University,42530
Houston Baptist University,43638
University of Houston-Clear Lake,25567
University of Houston-Downtown,20995
University of Houston-Victoria,19441
University of Houston,23361
Howard Payne University,41336
Huston-Tillotson University,24148
University of the Incarnate Word,45532
Jarvis Christian University,25082
Lamar University,20362
Texas A & M International University,13408
LeTourneau University,44629
Lubbock Christian University,37198
University of Mary Hardin-Baylor,42812
McMurry University,41764
Midwestern State University,19972
University of North Texas,23770
Our Lady of the Lake University,40753
The University of Texas Rio Grande Valley,14250
Paul Quinn College,19189
Prairie View A & M University,25164
Rice University,67102
Saint Edward's University,61707
University of St Thomas,42652
Sam Houston State University,22885
Schreiner University,41896
St. Mary's University,42354
Southern Methodist University,76346
Southwestern Assemblies of God University,34268
Southwestern University,57825
Stephen F Austin State University,22178
Texas State University,23453
Southwestern Adventist University,31865
Sul Ross State University,20332
Tarleton State University,22730
Texas A & M University-Kingsville,22645
Texas A & M University-College Station,29920
The University of Texas at Arlington,23902
The University of Texas at Austin,27397
The University of Texas at Dallas,27120
The University of Texas at El Paso,18291
The University of Texas at Tyler,20730
Texas Christian University,68072
Texas College,21620
Texas Lutheran University,42208
The University of Texas Permian Basin,17323
The University of Texas at San Antonio,18923
Texas Southern University,23173
Texas Tech University,23191
Texas Wesleyan University,47135
Texas Woman's University,19418
Trinity University,60664
Wayland Baptist University,35240
West Texas A & M University,20456
Wiley College,23938
Brigham Young University,18936
Brigham Young University-Hawaii,19641
Dixie State University,17802
Southern Utah University,19854
Utah State University,19886
Utah Valley University,13597
University of Utah,20303
Westminster College,49060
Bennington College,75972
Castleton University,24841
Champlain College,60478
Goddard College,33048
Northern Vermont University,25051
Middlebury College,74248
Norwich University,59627
Saint Michael's College,61892
Sterling College,51268
University of Vermont,34707
Averett University,47321
Bluefield University,39307
Bridgewater College,51725
William & Mary,39595
Regent University,30136
Christopher Newport University,31733
Emory & Henry College,50310
Eastern Mennonite University,51275
Ferrum College,50084
George Mason University,25717
Hampden-Sydney College,63310
Hampton University,44252
Hollins University,55893
James Madison University,27996
Liberty University,40567
Longwood University,28821
University of Lynchburg,54119
Mary Baldwin University,43427
University of Mary Washington,28327
Marymount University,47495
Norfolk State University,26439
Old Dominion University,25722
Radford University,24234
Randolph-Macon College,56509
Randolph College,58880
University of Richmond,69606
Roanoke College,61545
Shenandoah University,47850
Southeastern Free Will Baptist Bible College,17258
Southern Virginia University,29875
Sweet Briar College,38835
University of Virginia's College at Wise,22795
Virginia Polytechnic Institute and State University,27283
Virginia Commonwealth University,31983
University of Virginia-Main Campus,34094
Virginia Military Institute,32420
Virginia State University,23673
Virginia Union University,32082
Virginia Wesleyan University,50408
Washington and Lee University,73900
Central Washington University,24008
Cornish College of the Arts,50370
Eastern Washington University,20480
The Evergreen State College,24371
Gonzaga University,61761
Heritage University,25478
Northwest University,45095
Pacific Lutheran University,56830
University of Puget Sound,68072
Saint Martin's University,52603
Seattle Pacific University,60834
Seattle University,63439
Walla Walla University,39354
Washington State University,26068
University of Washington-Seattle Campus,26825
Western Washington University,24465
Whitman College,69532
Whitworth University,60359
Alderson Broaddus University,42676
Appalachian Bible College,26291
Bethany College,45570
Bluefield State College,18685
University of Charleston,43829
Concord University,16824
Davis & Elkins College,42233
Fairmont State University,17639
Glenville State University,22507
Marshall University,19586
Ohio Valley University,30222
Shepherd University,17759
West Virginia State University,19144
West Liberty University,22361
West Virginia University Institute of Technology,17464
West Virginia Wesleyan College,46187
West Virginia University,22680
Wheeling University,41651
Alverno College,40724
Bellin College,30000
Beloit College,63398
Cardinal Stritch University,44172
Carroll University,45227
Carthage College,59175
Concordia University-Wisconsin,45936
Edgewood College,44826
Lakeland University,43694
Lawrence University,62166
Maranatha Baptist University,27793
Marian University,38372
Marquette University,59725
Milwaukee Institute of Art & Design,49204
Milwaukee School of Engineering,53885
Mount Mary University,44284
Northland College,50029
Ripon College,56059
Saint Norbert College,51383
Viterbo University,40825
University of Wisconsin-Whitewater,18252
University of Wisconsin-Eau Claire,20174
University of Wisconsin-Green Bay,17509
University of Wisconsin-La Crosse,17514
Wisconsin Lutheran College,43118
University of Wisconsin-Oshkosh,18125
University of Wisconsin-Parkside,16320
Herzing University-Madison,29140
University of Wisconsin-Stout,19704
University of Wisconsin-Superior,18731
University of Wisconsin-Madison,26393
University of Wisconsin-Milwaukee,21984
University of Wisconsin-Platteville,18670
University of Wisconsin-River Falls,17971
University of Wisconsin-Stevens Point,18217
University of Wyoming,20258
University of Guam,13661
American University of Puerto Rico,17887
American University of Puerto Rico,17792
Universidad Adventista de las Antillas,14166
Atlantic University College,9708
Universidad Central de Bayamon,12314
Albizu University-San Juan,19215
Caribbean University-Bayamon,9136
Caribbean University-Carolina,9432
Pontifical Catholic University of Puerto Rico-Arecibo,14892
Pontifical Catholic University of Puerto Rico-Ponce,15895
Universidad Teologica del Caribe,12003
Colegio Universitario de San Juan,5663
Universidad Ana G. Mendez-Cupey Campus,13286
Conservatory of Music of Puerto Rico,10334
Escuela de Artes Plasticas y Diseno de Puerto Rico,7676
Inter American University of Puerto Rico-San German,14069
Inter American University of Puerto Rico-Aguadilla,13424
Inter American University of Puerto Rico-Arecibo,13419
Inter American University of Puerto Rico-Barranquitas,13560
Inter American University of Puerto Rico-Metro,16965
Inter American University of Puerto Rico-Ponce,13488
Inter American University of Puerto Rico-Fajardo,13992
Inter American University of Puerto Rico-Guayama,13925
Inter American University of Puerto Rico-Bayamon,13670
University of Puerto Rico-Aguadilla,11704
University of Puerto Rico-Arecibo,16016
University of Puerto Rico-Bayamon,9732
University of Puerto Rico-Carolina,14816
University of Puerto Rico-Cayey,12618
University of Puerto Rico-Humacao,14817
University of Puerto Rico-Mayaguez,16727
University of Puerto Rico at Ponce,13272
University of Puerto Rico-Rio Piedras,14035
Universidad Ana G. Mendez-Carolina Campus,13136
Universidad del Sagrado Corazon,19185
Universidad Politecnica de Puerto Rico,20820
Pontifical Catholic University of Puerto Rico-Mayaguez,14135
Universidad Ana G. Mendez-Gurabo Campus,13136
University of the Virgin Islands,16381
Stanford University,74570
Purdue University-Main Campus,22645
Parker University,31420
St. John's College,50980
Bais Medrash Elyon,15400
Mid-America Christian University,28755
Yeshiva Gedolah of Greater Detroit,15067
University of Massachusetts Global,32504
New College of Florida,20563
Yeshivah Gedolah Rabbinical College,17200
Caribbean University-Ponce,9341
Caribbean University-Vega Baja,9271
California State University-San Marcos,22531
Hodges University,25637
Yeshiva Gedolah Imrei Yosef D'spinka,14564
University of Washington-Bothell Campus,23189
University of Washington-Tacoma Campus,21705
Beacon College,59926
Rabbi Jacob Joseph School,19250
Everglades University,35979
College of Biblical Studies-Houston,19247
Soka University of America,50968
World Mission University,22025
Yeshivas Novominsk,17881
Rabbinical College of Ohr Shimon Yisroel,29881
California State University-Monterey Bay,23389
Messenger College,22425
Yeshiva D'monsey Rabbinical College,15018
Embry-Riddle Aeronautical University-Worldwide,24124
San Juan Bautista School of Medicine,11865
Western Governors University,13790
Florida Gulf Coast University,18151
International Baptist College and Seminary,24449
University of Connecticut-Waterbury Campus,18464
University of Connecticut-Avery Point,19030
University of Connecticut-Stamford,25497
The King's University,22284
Pacific Islands University,12203
Pillar College,35425
Oregon State University-Cascades Campus,25945
Yeshiva Shaarei Torah of Rockland,21700
Universidad Pentecostal Mizpa,10654
Nevada State College,20132
California State University-Channel Islands,25150
Franklin W Olin College of Engineering,74286
Faith International University,20830
Williamson Christian College,20720
Dewey University-Hato Rey,11278
Baptist University of the Americas,15092
Beis Medrash Heichal Dovid,18000
University of California-Merced,35005
Central Methodist University-College of Graduate and Extended Studies,18200
Johnson & Wales University-Charlotte,50200
Ave Maria University,37423
Ecclesia College,28103
Uta Mesivta of Kiryas Joel,20447
Harrisburg University of Science and Technology,33717
Georgia Gwinnett College,18387
SUM Bible College and Theological Seminary,26346
Bais Medrash Toras Chesed,12100
University of the West,24236
Averett University-Non-Traditional Programs,19078
Yeshivas Be'er Yitzchok,29460
Yeshiva Toras Chaim,18833
Talmudical Seminary of Bobov,16000
The King's College,58695
Yeshiva of Machzikai Hadas,28660
Providence Christian College,48917
Polytechnic University of Puerto Rico-Miami,29670
Polytechnic University of Puerto Rico-Orlando,22583
University of Minnesota-Rochester,25495
Pacific Rim Christian University,23131
Compass College of Film and Media,27000
Touro University Worldwide,27335
Herzing University-Kenosha,28529
Texas A&M University-San Antonio,21104
Johnson & Wales University-Online,25224
Manna University,14977
Simmons College of Kentucky,15730
North American University,20685
Keser Torah-Mayan Hatalmud,15550
John Paul the Great Catholic University,45863
University of Connecticut-Hartford Campus,21187
Ottawa University-Surprise,45139
Los Angeles Pacific University,26995
Criswell College,23142
Bais HaMedrash and Mesivta of Baltimore,22350
Yeshiva Gedolah Zichron Leyma,16750
Be'er Yaakov Talmudic Seminary,17120
Colorado State University-Global Campus,18869
Warner Pacific University Professional and Graduate Studies,21072
Florida Institute of Technology-Online,29005
Midwives College of Utah,24516
Grace Mission University,18621
Yeshiva Gedolah Kesser Torah,19300
Yeshiva Yesodei Hatorah,18800
Augusta University,20115
Middle Georgia State University,15822
Veritas Baptist College,11238
University of North Georgia,16816
Florida Polytechnic University,21119
Antioch College,50383
Texas A&M University-Central Texas,11669
Ana G. Mendez University,19627
University of Florida-Online,17148
Rabbinical College Ohr Yisroel,14850
University of North Texas at Dallas,18930
American College of the Building Arts,37384
Bet Medrash Gadol Ateret Torah,16648
Yeshiva Ohr Yisrael,13700
Yeshiva Sholom Shachna,20232
Beth Medrash Meor Yitzchok,20950
Bethany Global University,27284
Kennesaw State University,25059
Milligan University,46072
Husson University,31303
Northwest University-Center for Online and Extended Education,29793
Beth Medrash of Asbury Park,19300
Yeshiva Gedolah Shaarei Shmuel,14900
Indiana Wesleyan University-National & Global,23591
University of Saint Katherine,40522
Carolina University,22830
America Evangelical University,11420
Reformed University,21060
Yeshiva Bais Aharon,14958
Purdue University Northwest,17408
Yeshiva Kollel Tifereth Elizer,19027
University of Wisconsin-Milwaukee Flex,23560
Union Bible College,15380
Yeshiva Gedolah Tiferes Boruch,15300
Yeshiva Gedolah of Cliffwood,14850
Yeshivas Emek Hatorah,29164
Champion Christian College,15469
Drury University-College of Continuing Professional Studies,20867
Indiana Institute of Technology-College of Professional Studies,22827
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,23300
University of Arkansas System eVersity,15415
College Unbound,22512
Christ Mission College,13812
Urshan College,11054
Yeshiva Yesoda Hatorah Vetz Chaim,25453
The Pennsylvania State University,33960
